case,group,classification,chi,growth_rate,growth_number_G_b,contact_stiffness,diameter,Pi_c,dt,buckling_time,contact_time,max_contact_length,max_active_contact_pairs,max_penetration,max_penetration_ratio,max_radius_of_gyration,max_curvature,max_fold_count,max_self_loop_count,dominant_fold_wavelength,max_fold_periodicity,final_growth_work,final_dissipation_work,accepted_steps,rejected_steps,failure_reason
representative_u_contact,representative,self-contact,0.00025,0.05,0.0821278580374747,10.0,0.35,12.249999999999998,0.001,,0.0,1.318154572620492,4,0.08777292627165217,0.25077978934757766,0.5433461916902927,2.614203355348014,0,2,1.9738797820951168,0.7416460516845677,40.871977378884395,36.20248172790854,21,2,
no_contact_control,control,straight-no-contact,0.00025,0.05,0.0821278580374747,10.0,0.15,2.2499999999999996,0.001,,,0.0,0,0.0,0.0,0.5385934789856612,1.634337180718791,0,0,0.9864986968398075,0.4671431772145004,0.021110127156553797,0.020728223970570968,6,0,
soft_penalty,kc_sweep,self-contact,0.00025,0.05,0.0821278580374747,5.0,0.35,6.124999999999999,0.001,,0.0,1.318154572620492,4,0.08903789607294271,0.2543939887798363,0.5416330441067588,2.3291146128488873,0,2,1.9725359868971246,0.7280021169728272,39.00622143100142,38.99514292709787,22,3,
stiff_penalty,kc_sweep,self-contact,0.00025,0.05,0.0821278580374747,20.0,0.35,24.499999999999996,0.0005,,0.0,1.318154572620492,4,0.020461356844877043,0.05846101955679155,0.5386163939279427,1.6859681610089867,0,2,1.9784811077301128,0.5084367544937249,0.0001231086451800067,0.009956439964436962,40,0,
s_shape_folding,folding_fixture,straight-no-contact,0.00025,0.1,0.1642557160749494,10.0,0.25,6.25,0.001,,,0.0,0,0.0,0.0,0.70494286608522,1.97318183420925,1,0,2.4688258654551025,0.31923831920105944,0.0035749338620194447,0.004479065309139595,20,0,
grid_growth_rate=0_contact_stiffness=5_diameter=0.2_bending_stiffness=0.05,phase_map,straight-no-contact,0.000125,0.0,0.0,5.0,0.2,4.000000000000001,0.001,,,0.0,0,0.0,0.0,0.5385934789856612,1.6454945364347373,0,0,0.9876457327119036,0.46346940695959865,0.00478695579784742,0.007833413380429184,23,6,
grid_growth_rate=0_contact_stiffness=5_diameter=0.2_bending_stiffness=0.1,phase_map,straight-no-contact,0.00025,0.0,0.0,5.0,0.2,2.0000000000000004,0.001,,,0.0,0,0.0,0.0,0.5385934789856612,1.6757290549429553,0,0,1.9717819385900772,0.5203817467575115,0.015569091603480628,0.02544584169292121,23,6,
grid_growth_rate=0_contact_stiffness=5_diameter=0.35_bending_stiffness=0.05,phase_map,self-contact,0.000125,0.0,0.0,5.0,0.35,12.249999999999998,0.001,,0.0,1.318154572620492,4,0.02137061543149249,0.06105890123283569,0.5385934789856612,1.6499654231606447,0,2,1.9755752434431533,0.4547674742799317,0.00461331900326365,0.007556071751835015,23,5,
grid_growth_rate=0_contact_stiffness=5_diameter=0.35_bending_stiffness=0.1,phase_map,self-contact,0.00025,0.0,0.0,5.0,0.35,6.124999999999999,0.001,,0.0,1.318154572620492,4,0.02216221033069582,0.0633206009448452,0.5385934789856612,1.6784233502482608,0,2,1.9731503929381873,0.5178972393261929,0.011918711094157953,0.021575030641569924,23,6,
grid_growth_rate=0_contact_stiffness=20_diameter=0.2_bending_stiffness=0.05,phase_map,straight-no-contact,0.000125,0.0,0.0,20.0,0.2,16.000000000000004,0.001,,,0.0,0,0.0,0.0,0.5385934789856612,1.6454945364347373,0,0,0.9876457327119036,0.46346940695959865,0.00478695579784742,0.007833413380429184,23,6,
