representative,pilot,pilot_role,case,n_nodes,dt,label,onset_time,peak_max_transverse_displacement,G_b,chi,failure_reason,manifest
straight_representative,pilot_straight,straight,n005_dt_0p001,5,0.001,straight,,0.022635117087817357,0.0821278580374747,0.00025,,convergence/straight_representative/n005_dt_0p001/manifest.json
straight_representative,pilot_straight,straight,n005_dt_0p0005,5,0.0005,straight,,0.02262300557561383,0.0821278580374747,0.00025,,convergence/straight_representative/n005_dt_0p0005/manifest.json
straight_representative,pilot_straight,straight,n007_dt_0p001,7,0.001,straight,,0.027468887230460825,0.0821278580374747,0.00025,,convergence/straight_representative/n007_dt_0p001/manifest.json
straight_representative,pilot_straight,straight,n007_dt_0p0005,7,0.0005,straight,,0.022630616130951697,0.0821278580374747,0.00025,,convergence/straight_representative/n007_dt_0p0005/manifest.json
straight_representative,pilot_straight,straight,n009_dt_0p001,9,0.001,straight,,0.024366914893943742,0.0821278580374747,0.00025,,convergence/straight_representative/n009_dt_0p001/manifest.json
straight_representative,pilot_straight,straight,n009_dt_0p0005,9,0.0005,straight,,0.02431423699277864,0.0821278580374747,0.00025,,convergence/straight_representative/n009_dt_0p0005/manifest.json
boundary_representative,pilot_boundary,boundary-near,n005_dt_0p001,5,0.001,straight,,0.035443383117006774,0.2463835741124241,0.00025,,convergence/boundary_representative/n005_dt_0p001/manifest.json
boundary_representative,pilot_boundary,boundary-near,n005_dt_0p0005,5,0.0005,straight,,0.03540460560986499,0.2463835741124241,0.00025,,convergence/boundary_representative/n005_dt_0p0005/manifest.json
boundary_representative,pilot_boundary,boundary-near,n007_dt_0p001,7,0.001,buckled-single,0.18075000000000013,0.09030267675623564,0.2463835741124241,0.00025,,convergence/boundary_representative/n007_dt_0p001/manifest.json
boundary_representative,pilot_boundary,boundary-near,n007_dt_0p0005,7,0.0005,straight,,0.03587058211123852,0.2463835741124241,0.00025,,convergence/boundary_representative/n007_dt_0p0005/manifest.json
boundary_representative,pilot_boundary,boundary-near,n009_dt_0p001,9,0.001,straight,,0.0443744703450332,0.2463835741124241,0.00025,,convergence/boundary_representative/n009_dt_0p001/manifest.json
boundary_representative,pilot_boundary,boundary-near,n009_dt_0p0005,9,0.0005,straight,,0.0451049262968261,0.2463835741124241,0.00025,,convergence/boundary_representative/n009_dt_0p0005/manifest.json
buckled_representative,pilot_buckled,buckled-single,n005_dt_0p001,5,0.001,straight,,0.04398206087237989,0.3285114321498988,0.00025,,convergence/buckled_representative/n005_dt_0p001/manifest.json
buckled_representative,pilot_buckled,buckled-single,n005_dt_0p0005,5,0.0005,straight,,0.04393215264467425,0.3285114321498988,0.00025,,convergence/buckled_representative/n005_dt_0p0005/manifest.json
buckled_representative,pilot_buckled,buckled-single,n007_dt_0p001,7,0.001,unresolved,0.1580000000000001,0.13551731946811657,0.3285114321498988,0.00025,,convergence/buckled_representative/n007_dt_0p001/manifest.json
buckled_representative,pilot_buckled,buckled-single,n007_dt_0p0005,7,0.0005,straight,,0.04477347105035142,0.3285114321498988,0.00025,,convergence/buckled_representative/n007_dt_0p0005/manifest.json
buckled_representative,pilot_buckled,buckled-single,n009_dt_0p001,9,0.001,buckled-single,0.19212499999999993,0.06930449509602273,0.3285114321498988,0.00025,,convergence/buckled_representative/n009_dt_0p001/manifest.json
buckled_representative,pilot_buckled,buckled-single,n009_dt_0p0005,9,0.0005,buckled-single,0.18600000000000014,0.08074549647992633,0.3285114321498988,0.00025,,convergence/buckled_representative/n009_dt_0p0005/manifest.json
