cell,G_b,chi,actual_G_b,actual_chi,label,waveform_class,unresolved_reason,dominant_mode,A_max_over_L,first_mode_fraction,curvature_rms,onset_time,dissipation_energy,accepted_steps,rejected_steps,failure_reason
gb_0.08_chi_8e-05,0.08,8e-05,0.08,8e-05,straight,sub_threshold_transient,sub_threshold_transient,1,0.021990843493557715,0.7788598960859722,1.6152335062525207,,1365.129938582498,219,318,
gb_0.08_chi_0.000125,0.08,0.000125,0.08,0.000125,straight,sub_threshold_transient,sub_threshold_transient,1,0.012391595663580493,0.9878041549240613,0.26704058812473735,,1471.5620082781084,228,335,
gb_0.08_chi_0.00018,0.08,0.00018,0.08,0.00018,straight,sub_threshold_transient,sub_threshold_transient,1,0.014255509905002172,0.9923720060338609,0.4538730766389584,,1572.4142827227904,236,351,
gb_0.08_chi_0.00025,0.08,0.00025,0.08,0.00025,straight,sub_threshold_transient,sub_threshold_transient,1,0.013182498276040908,0.997542401004389,0.24448100321275082,,1506.2461472425432,237,352,
gb_0.08_chi_0.00035,0.08,0.00035,0.08,0.00034999999999999994,straight,sub_threshold_transient,sub_threshold_transient,1,0.012827116592051345,0.9996345285355105,0.08186221505179725,,1394.7050602002619,224,329,
gb_0.08_chi_0.0005,0.08,0.0005,0.08,0.0005,straight,sub_threshold_transient,sub_threshold_transient,1,0.013486399307408832,0.9997307062446794,1.287275855525423,,1181.941930727965,204,291,
gb_0.08_chi_0.0007,0.08,0.0007,0.08,0.0006999999999999999,straight,sub_threshold_transient,sub_threshold_transient,1,0.014712825043215737,0.9998760374971094,0.05372240617430805,,1219.9700247340272,203,288,
gb_0.08_chi_0.001,0.08,0.001,0.08,0.001,straight,sub_threshold_transient,sub_threshold_transient,1,0.016703915287422873,0.9998970676706596,0.8527077197980287,,1254.421788815192,214,306,
gb_0.12_chi_8e-05,0.12,8e-05,0.12,8e-05,straight,sub_threshold_transient,sub_threshold_transient,1,0.022982629659899504,0.7154969767404483,1.6994129171727972,,1373.8860653752406,218,317,
gb_0.12_chi_0.000125,0.12,0.000125,0.12,0.000125,straight,sub_threshold_transient,sub_threshold_transient,1,0.017765282469975777,0.9146445431205816,1.4914419098189522,,1503.6802262801477,235,348,
