phase,G_b,chi,growth_time,status,score,target_frechet_distance_px,target_curvature_rmse_px_inv,target_feature_loss,observed_growth_rate,model_growth_rate,growth_rate_loss,failure_reason
coarse,0.2,0.0001,0.02,computed,120.74903041437143,21.459525440416314,0.2965576384411594,108.84607049847799,0.5475685218156996,-0.004736425964831815,1.0173746686927652,
coarse,0.2,0.0001,0.05,computed,132.85846778198584,21.6129160135703,0.29019691896959154,120.87414315989778,0.5475685218156996,-0.0057007075166505446,1.020930284242706,
coarse,0.2,0.0003,0.02,computed,136.2608589496543,21.681930742793384,0.2889505153995679,124.23992627441629,0.5475685218156996,-0.006133959030723738,1.0225298410325794,
coarse,0.2,0.0003,0.05,computed,145.9409953670964,21.78128567664271,0.2871339727391359,133.86736126940977,0.5475685218156996,-0.00675701774568524,1.024832357636349,
coarse,0.2,0.0006,0.02,computed,140.48798783685376,21.77327913405992,0.287378458331616,128.4186006863065,0.5475685218156996,-0.006706837153240228,1.024646819127009,
coarse,0.2,0.0006,0.05,computed,132.08305070384992,21.704313102602583,0.2907140459609722,120.05024559734638,0.5475685218156996,-0.006274387460532505,1.0230485689549005,
coarse,0.2,0.001,0.02,computed,137.37741400666613,40.13341683437441,0.29473878215153226,115.99809135984499,0.5475685218156996,-0.005772783913849958,1.0211963021807007,
coarse,0.2,0.001,0.05,computed,140.03172283086283,40.228428852940844,0.29320020881978764,118.60401153812165,0.5475685218156996,-0.005824998109697972,1.0213890347994123,
coarse,0.775,0.0001,0.02,computed,120.7459082223433,21.45941803858838,0.29655933211928553,108.84300527705176,0.5475685218156996,-0.004735750137107594,1.0173721788740908,
coarse,0.775,0.0001,0.05,computed,132.852051695828,21.612608270701685,0.29020088276851247,120.86789031263253,0.5475685218156996,-0.005698774768305121,1.0209231513758612,
coarse,0.775,0.0003,0.02,computed,136.25439391621785,21.681762963090932,0.2889525467662344,124.23355023759133,0.5475685218156996,-0.0061329062206480715,1.0225259525591375,
coarse,0.775,0.0003,0.05,computed,145.93138269541672,21.78071477279363,0.28713589805215106,133.85805142481928,0.5475685218156996,-0.006753439802017847,1.0248191279352123,
coarse,0.775,0.0006,0.02,computed,140.47722615706323,21.772962395641258,0.28737569213435804,128.408007015567,0.5475685218156996,-0.006704851907987099,1.0246394791954825,
coarse,0.775,0.0006,0.05,computed,132.62434846142898,21.70667076806967,0.29063101233798944,120.59029276280724,0.5475685218156996,-0.006289177316350626,1.0231032087908625,
coarse,0.775,0.001,0.02,computed,137.49860897829825,40.132834072672665,0.29469672239074723,116.11954746369057,0.5475685218156996,-0.005782125486944436,1.0212307823842426,
coarse,0.775,0.001,0.05,computed,140.30387422338234,40.227412024303796,0.2931263713443193,118.87663949644764,0.5475685218156996,-0.005835626034419349,1.0214282667369752,
coarse,1.35,0.0001,0.02,computed,120.7427851851505,21.459310622986493,0.2965610265457078,108.83993921776748,0.5475685218156996,-0.004735074221796521,1.0173696887357855,
coarse,1.35,0.0001,0.05,computed,132.8456318640666,21.612300465501846,0.2902049556307323,120.86163375282929,0.5475685218156996,-0.0056968416210213205,1.020916017061647,
