frame,time,event,severity,details
0,0.0,components_truncated,censor,total=7;kept=1
0,0.0,ambiguous_components,warning,7
0,0.0,branched_component,censor,filament-0000
0,0.0,disconnected_skeleton,censor,filament-0000
15,1.0,components_truncated,censor,total=5;kept=1
15,1.0,ambiguous_components,warning,5
15,1.0,disconnected_skeleton,censor,filament-0000
15,1.0,large_jump,censor,filament-0000
15,1.0,orientation_reversed,censor,filament-0000
30,2.0,components_truncated,censor,total=6;kept=1
30,2.0,ambiguous_components,warning,6
30,2.0,disconnected_skeleton,censor,filament-0000
30,2.0,orientation_reversed,censor,filament-0000
45,3.0,components_truncated,censor,total=8;kept=1
45,3.0,ambiguous_components,warning,8
45,3.0,branched_component,censor,filament-0000
45,3.0,disconnected_skeleton,censor,filament-0000
45,3.0,orientation_reversed,censor,filament-0000
60,4.0,components_truncated,censor,total=10;kept=1
60,4.0,ambiguous_components,warning,10
60,4.0,disconnected_skeleton,censor,filament-0000
60,4.0,orientation_reversed,censor,filament-0000
75,5.0,components_truncated,censor,total=8;kept=1
75,5.0,ambiguous_components,warning,8
75,5.0,branched_component,censor,filament-0000
75,5.0,loop_component,censor,filament-0000
75,5.0,disconnected_skeleton,censor,filament-0000
75,5.0,orientation_reversed,censor,filament-0000
90,6.0,components_truncated,censor,total=11;kept=1
90,6.0,ambiguous_components,warning,11
90,6.0,branched_component,censor,filament-0000
90,6.0,loop_component,censor,filament-0000
90,6.0,disconnected_skeleton,censor,filament-0000
105,7.0,components_truncated,censor,total=13;kept=1
105,7.0,missing,censor,filament-0000
105,7.0,ambiguous_components,warning,13
105,7.0,branched_component,censor,filament-0001
105,7.0,disconnected_skeleton,censor,filament-0001
105,7.0,new_lineage,censor,filament-0001
120,8.0,components_truncated,censor,total=9;kept=1
120,8.0,missing,censor,filament-0001
120,8.0,ambiguous_components,warning,9
120,8.0,branched_component,censor,filament-0000
120,8.0,loop_component,censor,filament-0000
120,8.0,disconnected_skeleton,censor,filament-0000
120,8.0,large_jump,censor,filament-0000
120,8.0,reconnected_after_missing,censor,filament-0000
120,8.0,orientation_reversed,censor,filament-0000
135,9.0,components_truncated,censor,total=5;kept=1
135,9.0,missing,censor,filament-0000
135,9.0,ambiguous_components,warning,5
135,9.0,branched_component,censor,filament-0001
135,9.0,disconnected_skeleton,censor,filament-0001
135,9.0,reconnected_after_missing,censor,filament-0001
150,10.0,components_truncated,censor,total=21;kept=1
150,10.0,missing,censor,filament-0000
150,10.0,missing,censor,filament-0001
150,10.0,ambiguous_components,warning,21
150,10.0,branched_component,censor,filament-0002
150,10.0,disconnected_skeleton,censor,filament-0002
150,10.0,new_lineage,censor,filament-0002
165,11.0,components_truncated,censor,total=25;kept=1
165,11.0,missing,censor,filament-0000
165,11.0,missing,censor,filament-0001
165,11.0,missing,censor,filament-0002
165,11.0,ambiguous_components,warning,25
165,11.0,branched_component,censor,filament-0003
165,11.0,loop_component,censor,filament-0003
165,11.0,disconnected_skeleton,censor,filament-0003
165,11.0,new_lineage,censor,filament-0003
180,12.0,components_truncated,censor,total=51;kept=1
180,12.0,missing,censor,filament-0000
180,12.0,missing,censor,filament-0001
180,12.0,missing,censor,filament-0002
180,12.0,ambiguous_components,warning,51
180,12.0,branched_component,censor,filament-0003
180,12.0,loop_component,censor,filament-0003
180,12.0,disconnected_skeleton,censor,filament-0003
180,12.0,large_jump,censor,filament-0003
195,13.0,components_truncated,censor,total=46;kept=1
195,13.0,missing,censor,filament-0000
195,13.0,missing,censor,filament-0001
195,13.0,missing,censor,filament-0002
195,13.0,ambiguous_components,warning,46
195,13.0,branched_component,censor,filament-0003
195,13.0,disconnected_skeleton,censor,filament-0003
210,14.0,components_truncated,censor,total=59;kept=1
210,14.0,missing,censor,filament-0000
210,14.0,missing,censor,filament-0001
210,14.0,missing,censor,filament-0002
210,14.0,missing,censor,filament-0003
210,14.0,ambiguous_components,warning,59
210,14.0,branched_component,censor,filament-0004
210,14.0,loop_component,censor,filament-0004
210,14.0,disconnected_skeleton,censor,filament-0004
210,14.0,new_lineage,censor,filament-0004
225,15.0,components_truncated,censor,total=63;kept=1
225,15.0,missing,censor,filament-0001
225,15.0,missing,censor,filament-0002
225,15.0,missing,censor,filament-0003
225,15.0,missing,censor,filament-0004
225,15.0,ambiguous_components,warning,63
225,15.0,branched_component,censor,filament-0000
225,15.0,loop_component,censor,filament-0000
225,15.0,disconnected_skeleton,censor,filament-0000
225,15.0,large_jump,censor,filament-0000
225,15.0,reconnected_after_missing,censor,filament-0000
225,15.0,orientation_reversed,censor,filament-0000
240,16.0,components_truncated,censor,total=62;kept=1
240,16.0,missing,censor,filament-0000
240,16.0,missing,censor,filament-0001
240,16.0,missing,censor,filament-0002
240,16.0,missing,censor,filament-0003
240,16.0,missing,censor,filament-0004
240,16.0,ambiguous_components,warning,62
240,16.0,branched_component,censor,filament-0005
240,16.0,loop_component,censor,filament-0005
240,16.0,disconnected_skeleton,censor,filament-0005
240,16.0,new_lineage,censor,filament-0005
255,17.0,components_truncated,censor,total=61;kept=1
255,17.0,missing,censor,filament-0000
255,17.0,missing,censor,filament-0001
255,17.0,missing,censor,filament-0002
255,17.0,missing,censor,filament-0003
255,17.0,missing,censor,filament-0004
255,17.0,missing,censor,filament-0005
255,17.0,ambiguous_components,warning,61
255,17.0,branched_component,censor,filament-0006
255,17.0,loop_component,censor,filament-0006
255,17.0,disconnected_skeleton,censor,filament-0006
255,17.0,new_lineage,censor,filament-0006
270,18.0,components_truncated,censor,total=46;kept=1
270,18.0,missing,censor,filament-0000
270,18.0,missing,censor,filament-0001
270,18.0,missing,censor,filament-0002
270,18.0,missing,censor,filament-0004
270,18.0,missing,censor,filament-0005
270,18.0,missing,censor,filament-0006
270,18.0,ambiguous_components,warning,46
270,18.0,branched_component,censor,filament-0003
270,18.0,loop_component,censor,filament-0003
270,18.0,disconnected_skeleton,censor,filament-0003
270,18.0,large_jump,censor,filament-0003
270,18.0,reconnected_after_missing,censor,filament-0003
285,19.0,components_truncated,censor,total=33;kept=1
285,19.0,missing,censor,filament-0000
285,19.0,missing,censor,filament-0001
285,19.0,missing,censor,filament-0002
285,19.0,missing,censor,filament-0003
285,19.0,missing,censor,filament-0004
285,19.0,missing,censor,filament-0005
285,19.0,missing,censor,filament-0006
285,19.0,ambiguous_components,warning,33
285,19.0,branched_component,censor,filament-0007
285,19.0,loop_component,censor,filament-0007
285,19.0,disconnected_skeleton,censor,filament-0007
285,19.0,new_lineage,censor,filament-0007
300,20.0,components_truncated,censor,total=48;kept=1
300,20.0,missing,censor,filament-0000
300,20.0,missing,censor,filament-0001
300,20.0,missing,censor,filament-0002
300,20.0,missing,censor,filament-0003
300,20.0,missing,censor,filament-0004
300,20.0,missing,censor,filament-0005
300,20.0,missing,censor,filament-0006
300,20.0,missing,censor,filament-0007
300,20.0,ambiguous_components,warning,48
300,20.0,branched_component,censor,filament-0008
300,20.0,loop_component,censor,filament-0008
300,20.0,disconnected_skeleton,censor,filament-0008
300,20.0,new_lineage,censor,filament-0008
315,21.0,components_truncated,censor,total=41;kept=1
315,21.0,missing,censor,filament-0000
315,21.0,missing,censor,filament-0001
315,21.0,missing,censor,filament-0002
315,21.0,missing,censor,filament-0003
315,21.0,missing,censor,filament-0004
315,21.0,missing,censor,filament-0005
315,21.0,missing,censor,filament-0006
315,21.0,missing,censor,filament-0007
315,21.0,missing,censor,filament-0008
315,21.0,ambiguous_components,warning,41
315,21.0,branched_component,censor,filament-0009
315,21.0,loop_component,censor,filament-0009
315,21.0,disconnected_skeleton,censor,filament-0009
315,21.0,new_lineage,censor,filament-0009
330,22.0,components_truncated,censor,total=37;kept=1
330,22.0,missing,censor,filament-0000
330,22.0,missing,censor,filament-0001
330,22.0,missing,censor,filament-0002
330,22.0,missing,censor,filament-0003
330,22.0,missing,censor,filament-0004
330,22.0,missing,censor,filament-0005
330,22.0,missing,censor,filament-0006
330,22.0,missing,censor,filament-0008
330,22.0,missing,censor,filament-0009
330,22.0,ambiguous_components,warning,37
330,22.0,branched_component,censor,filament-0007
330,22.0,disconnected_skeleton,censor,filament-0007
330,22.0,large_jump,censor,filament-0007
330,22.0,reconnected_after_missing,censor,filament-0007
345,23.0,components_truncated,censor,total=44;kept=1
345,23.0,missing,censor,filament-0000
345,23.0,missing,censor,filament-0001
345,23.0,missing,censor,filament-0002
345,23.0,missing,censor,filament-0003
345,23.0,missing,censor,filament-0004
345,23.0,missing,censor,filament-0005
345,23.0,missing,censor,filament-0006
345,23.0,missing,censor,filament-0007
345,23.0,missing,censor,filament-0008
345,23.0,missing,censor,filament-0009
345,23.0,ambiguous_components,warning,44
345,23.0,branched_component,censor,filament-0010
345,23.0,loop_component,censor,filament-0010
345,23.0,disconnected_skeleton,censor,filament-0010
345,23.0,new_lineage,censor,filament-0010
