frame,time,filament_id,n_points,centerline_exported,component_area,component_count_total,endpoint_count,junction_count,cycle_rank,length_px,endpoint_distance_px,curvature_mean_px_inv,curvature_max_px_inv,quality,quality_flags,censor
0,0.0,filament-0000,16,1,100,7,5,1,0,16.65685424949238,11.704699910719626,0.1858986131455934,0.6506451422842866,0.5666666666666667,branched_component;disconnected_skeleton;ambiguous_components;components_truncated,1
15,1.0,filament-0000,29,1,132,5,18,0,0,32.97056274847714,25.298221281347036,0.3373715574660984,0.6506451422842866,0.72,disconnected_skeleton;large_jump;ambiguous_components;components_truncated;orientation_reversed,1
30,2.0,filament-0000,51,1,217,6,22,0,0,59.11269837220809,41.10960958218893,0.2921263934544065,0.6506451422842866,0.8616666666666667,disconnected_skeleton;ambiguous_components;components_truncated;orientation_reversed,1
45,3.0,filament-0000,83,1,388,8,29,1,0,98.56854249492382,58.0,0.23059432035486863,1.1107207345395915,1.0,branched_component;disconnected_skeleton;ambiguous_components;components_truncated;orientation_reversed,1
60,4.0,filament-0000,133,1,556,10,58,0,0,158.92388155425118,76.16429609731846,0.2831051423408102,0.6506451422842866,1.0,disconnected_skeleton;ambiguous_components;components_truncated;orientation_reversed,1
75,5.0,filament-0000,0,0,1158,8,118,8,2,256.61393072676185,97.86214794290998,0.21628099435661008,1.1257933037948906,1.0,branched_component;loop_component;disconnected_skeleton;ambiguous_components;components_truncated;orientation_reversed,1
90,6.0,filament-0000,0,0,874,11,82,14,4,190.7523086789974,107.8702924812944,0.3012246055768838,0.6506451422842866,1.0,branched_component;loop_component;disconnected_skeleton;ambiguous_components;components_truncated,1
105,7.0,filament-0001,200,1,1248,13,159,5,0,327.9507509345916,153.4177303964571,0.1606576053025132,0.766235555889931,1.0,branched_component;disconnected_skeleton;ambiguous_components;components_truncated;new_lineage,1
120,8.0,filament-0000,0,0,3079,9,378,16,2,440.97784996016003,163.783393541592,0.09098193785394357,0.5244902475226098,1.0,branched_component;loop_component;disconnected_skeleton;large_jump;ambiguous_components;components_truncated;reconnected_after_missing;orientation_reversed,1
135,9.0,filament-0001,200,1,1337,5,217,5,0,364.51772344872666,318.3237345847777,0.13736876419591254,0.46470977693296034,1.0,branched_component;disconnected_skeleton;ambiguous_components;components_truncated;reconnected_after_missing,1
150,10.0,filament-0002,200,1,597,21,134,2,0,327.07613402114487,228.47319317591726,0.14630976151108296,0.9423002099276553,1.0,branched_component;disconnected_skeleton;ambiguous_components;components_truncated;new_lineage,1
165,11.0,filament-0003,0,0,1329,25,127,25,6,338.1248175858651,263.2299375071156,0.18156699697173223,0.82763517582479,1.0,branched_component;loop_component;disconnected_skeleton;ambiguous_components;components_truncated;new_lineage,1
180,12.0,filament-0003,0,0,933,51,53,17,4,157.36753236814712,90.24965373894794,0.30791156965643235,1.1107207345395915,1.0,branched_component;loop_component;disconnected_skeleton;large_jump;ambiguous_components;components_truncated,1
195,13.0,filament-0003,140,1,910,46,74,4,0,162.1959594928933,106.96261028976434,0.3300373931733571,0.6506451422842866,1.0,branched_component;disconnected_skeleton;ambiguous_components;components_truncated,1
210,14.0,filament-0004,0,0,262,59,40,8,2,51.87005768508881,9.219544457292887,0.41038035833439274,1.1107207345395915,0.9366666666666666,branched_component;loop_component;disconnected_skeleton;ambiguous_components;components_truncated;new_lineage,1
225,15.0,filament-0000,0,0,258,63,62,11,1,101.22539674441619,41.677331968349414,0.4938764876199316,1.1107207345395915,0.9299999999999999,branched_component;loop_component;disconnected_skeleton;large_jump;ambiguous_components;components_truncated;reconnected_after_missing;orientation_reversed,1
240,16.0,filament-0005,0,0,336,62,36,18,3,73.25483399593904,62.177166226839255,0.43142537635927614,1.1107207345395915,1.0,branched_component;loop_component;disconnected_skeleton;ambiguous_components;components_truncated;new_lineage,1
255,17.0,filament-0006,0,0,751,61,53,9,1,125.98275605729691,110.0272693471941,0.3338424913108998,1.1107207345395915,1.0,branched_component;loop_component;disconnected_skeleton;ambiguous_components;components_truncated;new_lineage,1
270,18.0,filament-0003,0,0,423,46,44,12,1,69.76955262170046,60.00833275470999,0.3636232884385163,1.1107207345395915,1.0,branched_component;loop_component;disconnected_skeleton;large_jump;ambiguous_components;components_truncated;reconnected_after_missing,1
285,19.0,filament-0007,0,0,757,33,59,23,3,127.8528137423857,115.26057435220423,0.33808032385103454,0.6506451422842866,1.0,branched_component;loop_component;disconnected_skeleton;ambiguous_components;components_truncated;new_lineage,1
300,20.0,filament-0008,0,0,720,48,64,32,8,109.7401153701776,89.88882021697692,0.2967376586729564,1.1107207345395915,1.0,branched_component;loop_component;disconnected_skeleton;ambiguous_components;components_truncated;new_lineage,1
315,21.0,filament-0009,0,0,458,41,48,28,9,69.49747468305831,62.369864518050704,0.27359757528215406,1.1107207345395915,1.0,branched_component;loop_component;disconnected_skeleton;ambiguous_components;components_truncated;new_lineage,1
330,22.0,filament-0007,37,1,275,37,23,7,0,40.970562748477136,26.68332812825267,0.32372781445036225,1.1107207345395915,0.9583333333333333,branched_component;disconnected_skeleton;large_jump;ambiguous_components;components_truncated;reconnected_after_missing,1
345,23.0,filament-0010,0,0,352,44,49,15,1,66.59797974644664,57.28001396647874,0.34942054296221126,0.6506451422842866,1.0,branched_component;loop_component;disconnected_skeleton;ambiguous_components;components_truncated;new_lineage,1
