run_name,run_kind,base_fixture,seed,trial,growth_rate,bending_stiffness,axial_stiffness,bending_to_axial_ratio,growth_bending_number,n_nodes,dt,t_end,initial_amplitude,label,onset_time,peak_time,peak_amplitude,peak_first_mode_fraction,peak_rms_curvature,final_endpoint_distance,final_reference_length,final_contour_length,final_compression_proxy,accepted_steps,rejected_steps,failure_reason,unresolved_reason_category,phase_boundary_claim
slow_growth_low_bend,deterministic_fixture,slow_growth_low_bend,,0,0.05,0.02,5.0,0.001,0.4106392901873735,9,0.002,4.0,0.02,sub-threshold-or-relaxing,,0.0,0.02,0.9999999964793445,0.03681701765419713,2.4312688773362026,2.443400439652054,2.4313234823108707,0.03614516362061774,2001,0,,,False
fast_growth_low_bend,deterministic_fixture,fast_growth_low_bend,,0,0.2,0.02,5.0,0.001,1.642557160749494,9,0.002,4.0,0.02,buckling-candidate,3.2979999999998584,4.0,0.08944875318862197,0.9621270934220312,0.06930160904358133,4.200635715589287,4.452165877973007,4.204674334874742,0.400916481029316,2001,0,,,False
fast_growth_high_bend,deterministic_fixture,fast_growth_high_bend,,0,0.2,0.1,5.0,0.005,0.3285114321498988,9,0.002,4.0,0.02,sub-threshold-or-relaxing,,0.0,0.02,0.9999999964793445,0.03681701765419713,4.20357086198313,4.452165877973007,4.203585649572538,0.4031502632998859,2001,0,,,False
fast_growth_large_imperfection,deterministic_fixture,fast_growth_large_imperfection,,0,0.2,0.02,5.0,0.001,1.642557160749494,9,0.002,4.0,0.05,buckling-candidate,3.301999999999858,4.0,0.22162955152620395,0.963709758183031,0.14850912291551532,4.190149062690445,4.4578505078835144,4.2148894478909,0.3908013032063453,2001,0,,,False
fast_growth_small_imperfection,deterministic_fixture,fast_growth_small_imperfection,,0,0.2,0.02,5.0,0.001,1.642557160749494,9,0.002,4.0,0.01,buckling-candidate,3.2979999999998584,4.0,0.044783994460596825,0.9618871578100975,0.04674373445039643,4.202155641837699,4.451352899352944,4.203168337293631,0.40246552759273996,2001,0,,,False
fast_growth_low_bend_refine_n9_dt0.002,numerical_refinement,fast_growth_low_bend,,0,0.2,0.02,5.0,0.001,1.642557160749494,9,0.002,4.0,0.02,buckling-candidate,3.2979999999998584,4.0,0.08944875318862197,0.9621270934220312,0.06930160904358133,4.200635715589287,4.452165877973007,4.204674334874742,0.400916481029316,2001,0,,,False
fast_growth_low_bend_refine_n9_dt0.001,numerical_refinement,fast_growth_low_bend,,0,0.2,0.02,5.0,0.001,1.642557160749494,9,0.001,4.0,0.02,buckling-candidate,3.2999999999997476,4.0,0.08939338456981781,0.962129241744926,0.06925973906187267,4.199896654399861,4.452165877973293,4.203930928992499,0.4016814287491657,4001,0,,,False
fast_growth_low_bend_refine_n13_dt0.002,numerical_refinement,fast_growth_low_bend,,0,0.2,0.02,5.0,0.001,1.642557160749494,13,0.002,4.0,0.02,buckling-candidate,3.3139999999998566,4.0,0.08766775093765045,0.9635165035551516,0.06857142732549835,4.20469662786213,4.452173658081164,4.208661628965409,0.40148696524184796,2001,0,,,False
fast_growth_low_bend_refine_n13_dt0.001,numerical_refinement,fast_growth_low_bend,,0,0.2,0.02,5.0,0.001,1.642557160749494,13,0.001,4.0,0.02,buckling-candidate,3.315999999999746,4.0,0.08760910174043181,0.9635220566482713,0.06852412367926526,4.203955427346781,4.452173658081451,4.2079157923742185,0.40225169675066846,4001,0,,,False
slow_growth_low_bend_replicate_01_seed101,exploratory_replicate,slow_growth_low_bend,101,1,0.05,0.02,5.0,0.001,0.4106392901873735,9,0.002,4.0,0.023314189674911175,sub-threshold-or-relaxing,,0.0,0.023314189674911175,0.929944070219109,0.16486024607784674,2.4320162795180664,2.4441601679136356,2.432071911803455,0.03616765391970112,2001,0,,,False
slow_growth_low_bend_replicate_02_seed202,exploratory_replicate,slow_growth_low_bend,202,2,0.05,0.02,5.0,0.001,0.4106392901873735,9,0.002,4.0,0.020638404809260904,sub-threshold-or-relaxing,,0.0,0.020638404809260904,0.9286969722614963,0.18610650033170703,2.4321002361930835,2.4442104094729205,2.432121807166358,0.03616730783163316,2001,0,,,False
slow_growth_low_bend_replicate_03_seed303,exploratory_replicate,slow_growth_low_bend,303,3,0.05,0.02,5.0,0.001,0.4106392901873735,9,0.002,4.0,0.023511027822470148,sub-threshold-or-relaxing,,0.0,0.023511027822470148,0.9571855429245882,0.2649603846805266,2.4324894300943645,2.4446467804605523,2.4325512210580102,0.03618644213047881,2001,0,,,False
fast_growth_low_bend_replicate_01_seed101,exploratory_replicate,fast_growth_low_bend,101,1,0.2,0.02,5.0,0.001,1.642557160749494,9,0.002,4.0,0.023314189674911175,buckling-candidate,3.5699999999998284,4.0,0.09026170236526071,0.9617481569114066,0.07001554774037295,4.201756998136747,4.453550193121627,4.205874335643053,0.40108200037620373,2001,0,,,False
fast_growth_low_bend_replicate_02_seed202,exploratory_replicate,fast_growth_low_bend,202,2,0.2,0.02,5.0,0.001,1.642557160749494,9,0.002,4.0,0.020638404809260904,sub-threshold-or-relaxing,,4.0,0.05619405980568686,0.9605762911229184,0.052626336877449185,4.203671140442162,4.453641739211366,4.205274236327034,0.40248356264724994,2001,0,,,False
